content.update_time,#genre#
2026-02-05 14:16:00,http://192.168.1.95:8080/hls/3323686413038740217.m3u8

央视,#genre#
CGTN,http://192.168.1.95:8080/hls/3323686413038740217.m3u8
CGTN,http://192.168.1.95:8080/hls/-2476207891325089629.m3u8
CGTN纪录,http://192.168.1.95:8080/hls/-292990585245364354.m3u8
CGTN纪录,http://192.168.1.95:8080/hls/-3927551430146215640.m3u8
CGTN俄语,http://192.168.1.95:8080/hls/993636248456897114.m3u8
CGTN俄语,http://192.168.1.95:8080/hls/2802938586992082052.m3u8
CGTN法语,http://192.168.1.95:8080/hls/-8346171935000391107.m3u8
CGTN法语,http://192.168.1.95:8080/hls/-5234536124796563966.m3u8
CGTN西语,http://192.168.1.95:8080/hls/8357129435191030275.m3u8
CGTN阿语,http://192.168.1.95:8080/hls/-5313469206927357261.m3u8
中国交通,http://192.168.1.95:8080/hls/6985458688001239.m3u8
CHC动作电影,http://192.168.1.95:8080/hls/-4525885393080673618.m3u8
CHC动作电影,http://192.168.1.95:8080/hls/-4912947127455407839.m3u8
CHC动作电影,http://192.168.1.95:8080/hls/1849538462415479534.m3u8
CHC动作电影,http://192.168.1.95:8080/hls/4775814272929717700.m3u8
CHC家庭影院,http://192.168.1.95:8080/hls/4445394428089552773.m3u8
CHC家庭影院,http://192.168.1.95:8080/hls/-109479337733151058.m3u8
睛彩广场舞,http://192.168.1.95:8080/hls/3354299841847191836.m3u8

卫视,#genre#
北京卫视4K,http://192.168.1.95:8080/hls/5987314815746676720.m3u8
北京卫视4K,http://192.168.1.95:8080/hls/2689586587649157991.m3u8
北京卫视4K,http://192.168.1.95:8080/hls/-5508857315444419183.m3u8
北京卫视4K,http://192.168.1.95:8080/hls/-8858824560227129679.m3u8
湖南卫视4K,http://192.168.1.95:8080/hls/-7104679386667599273.m3u8
湖南卫视4K,http://192.168.1.95:8080/hls/-7490318080577707902.m3u8
湖南卫视4K,http://192.168.1.95:8080/hls/-8931919648727726511.m3u8
湖南卫视4K,http://192.168.1.95:8080/hls/-5181288575527145864.m3u8
湖南卫视4K,http://192.168.1.95:8080/hls/4405450156515567588.m3u8
东方卫视4K,http://192.168.1.95:8080/hls/6090890478557855096.m3u8
四川卫视4K,http://192.168.1.95:8080/hls/1119087725609429889.m3u8
四川卫视4K,http://192.168.1.95:8080/hls/-99353396227351484.m3u8
四川卫视4K,http://192.168.1.95:8080/hls/1988657568376324774.m3u8
四川卫视4K,http://192.168.1.95:8080/hls/7652841565063236991.m3u8
四川卫视4K,http://192.168.1.95:8080/hls/8224505525660396842.m3u8
广东卫视,http://192.168.1.95:8080/hls/-1991045133596031159.m3u8
广东卫视,http://192.168.1.95:8080/hls/-6242811110428117546.m3u8
广东卫视,http://192.168.1.95:8080/hls/-7645993608455601024.m3u8
广东卫视,http://192.168.1.95:8080/hls/3950437254667874407.m3u8
浙江卫视,http://192.168.1.95:8080/hls/2723630844728991645.m3u8
浙江卫视,http://192.168.1.95:8080/hls/-7019604725474250607.m3u8
浙江卫视,http://192.168.1.95:8080/hls/4715977864694236592.m3u8
浙江卫视,http://192.168.1.95:8080/hls/-3214717436432680627.m3u8
浙江卫视,http://192.168.1.95:8080/hls/-5822001972422589739.m3u8
湖南卫视,http://192.168.1.95:8080/hls/4405450156515567588.m3u8
湖北卫视,http://192.168.1.95:8080/hls/3668177145721720353.m3u8
湖北卫视,http://192.168.1.95:8080/hls/4375679819706412754.m3u8
湖北卫视,http://192.168.1.95:8080/hls/-3500114486952050643.m3u8
湖北卫视,http://192.168.1.95:8080/hls/281160922483008760.m3u8
黑龙江卫视,http://192.168.1.95:8080/hls/-1440874317522684683.m3u8
黑龙江卫视,http://192.168.1.95:8080/hls/2405194366567986253.m3u8
黑龙江卫视,http://192.168.1.95:8080/hls/-3255116742647429635.m3u8
黑龙江卫视,http://192.168.1.95:8080/hls/7852318580994466443.m3u8
黑龙江卫视,http://192.168.1.95:8080/hls/4699202807743308935.m3u8
安徽卫视,http://192.168.1.95:8080/hls/960341606746504976.m3u8
安徽卫视,http://192.168.1.95:8080/hls/-3981358119418117587.m3u8
安徽卫视,http://192.168.1.95:8080/hls/-8912271855384421764.m3u8
安徽卫视,http://192.168.1.95:8080/hls/-7085457987064311196.m3u8
重庆卫视,http://192.168.1.95:8080/hls/-6887537784625964848.m3u8
重庆卫视,http://192.168.1.95:8080/hls/-4713513576176623324.m3u8
重庆卫视,http://192.168.1.95:8080/hls/6168060203522870447.m3u8
重庆卫视,http://192.168.1.95:8080/hls/-8789167154084219069.m3u8
东方卫视,http://192.168.1.95:8080/hls/-1933908655505801645.m3u8
东方卫视,http://192.168.1.95:8080/hls/-4696654655062802121.m3u8
东方卫视,http://192.168.1.95:8080/hls/-5185725946214562137.m3u8
东方卫视,http://192.168.1.95:8080/hls/-8649655541492611849.m3u8
东方卫视,http://192.168.1.95:8080/hls/-8544688956157919315.m3u8
东南卫视,http://192.168.1.95:8080/hls/6825905953954160887.m3u8
东南卫视,http://192.168.1.95:8080/hls/940239772043274440.m3u8
东南卫视,http://192.168.1.95:8080/hls/2960456719125971859.m3u8
东南卫视,http://192.168.1.95:8080/hls/-3001181678786720726.m3u8
甘肃卫视,http://192.168.1.95:8080/hls/3911201380378797730.m3u8
甘肃卫视,http://192.168.1.95:8080/hls/-172529086113002169.m3u8
甘肃卫视,http://192.168.1.95:8080/hls/-7567104126369737568.m3u8
甘肃卫视,http://192.168.1.95:8080/hls/-4747586865305454667.m3u8
甘肃卫视,http://192.168.1.95:8080/hls/-1953816281605638756.m3u8
广西卫视,http://192.168.1.95:8080/hls/-8244480629112538505.m3u8
广西卫视,http://192.168.1.95:8080/hls/5596343488894584727.m3u8
广西卫视,http://192.168.1.95:8080/hls/9195338478957475360.m3u8
广西卫视,http://192.168.1.95:8080/hls/549287342350888688.m3u8
广西卫视,http://192.168.1.95:8080/hls/-7229585681732567602.m3u8
贵州卫视,http://192.168.1.95:8080/hls/8278791667726727231.m3u8
贵州卫视,http://192.168.1.95:8080/hls/2208740786796289842.m3u8
贵州卫视,http://192.168.1.95:8080/hls/1919522161734827800.m3u8
贵州卫视,http://192.168.1.95:8080/hls/-7745893631716666400.m3u8
贵州卫视,http://192.168.1.95:8080/hls/1104012333674387201.m3u8
海南卫视,http://192.168.1.95:8080/hls/-6705432725818470628.m3u8
海南卫视,http://192.168.1.95:8080/hls/804660197221767154.m3u8
海南卫视,http://192.168.1.95:8080/hls/752020011968515110.m3u8
海南卫视,http://192.168.1.95:8080/hls/36959744281099484.m3u8
海南卫视,http://192.168.1.95:8080/hls/7371265603305883043.m3u8
河北卫视,http://192.168.1.95:8080/hls/-3315567671343739361.m3u8
河北卫视,http://192.168.1.95:8080/hls/-5131217852357968263.m3u8
河北卫视,http://192.168.1.95:8080/hls/-4361844605012954240.m3u8
河北卫视,http://192.168.1.95:8080/hls/3947126632386727250.m3u8
河北卫视,http://192.168.1.95:8080/hls/3627715741680894943.m3u8
河南卫视,http://192.168.1.95:8080/hls/-6820298141644895038.m3u8
河南卫视,http://192.168.1.95:8080/hls/-8334126218926289355.m3u8
河南卫视,http://192.168.1.95:8080/hls/5526654654035056713.m3u8
河南卫视,http://192.168.1.95:8080/hls/-2754282497373108153.m3u8
吉林卫视,http://192.168.1.95:8080/hls/1478771746573353325.m3u8
吉林卫视,http://192.168.1.95:8080/hls/-502666589921907476.m3u8
吉林卫视,http://192.168.1.95:8080/hls/-8729818126897320903.m3u8
吉林卫视,http://192.168.1.95:8080/hls/7704698747751936458.m3u8
吉林卫视,http://192.168.1.95:8080/hls/-1318460830891632391.m3u8
江苏卫视,http://192.168.1.95:8080/hls/-8837740859122729040.m3u8
江苏卫视,http://192.168.1.95:8080/hls/-7222187900057302620.m3u8
江苏卫视,http://192.168.1.95:8080/hls/-8942734007395638145.m3u8
江苏卫视,http://192.168.1.95:8080/hls/-6996458820855149841.m3u8
江苏卫视,http://192.168.1.95:8080/hls/1150221759442002230.m3u8
江西卫视,http://192.168.1.95:8080/hls/-8464639229294261508.m3u8
江西卫视,http://192.168.1.95:8080/hls/-2435546659089583771.m3u8
江西卫视,http://192.168.1.95:8080/hls/4432961768645110510.m3u8
江西卫视,http://192.168.1.95:8080/hls/8956373605925255475.m3u8
辽宁卫视,http://192.168.1.95:8080/hls/3094380524997230210.m3u8
辽宁卫视,http://192.168.1.95:8080/hls/1903958567502021030.m3u8
辽宁卫视,http://192.168.1.95:8080/hls/8600174039724318423.m3u8
辽宁卫视,http://192.168.1.95:8080/hls/-4645760378715689419.m3u8
辽宁卫视,http://192.168.1.95:8080/hls/7587278109006215401.m3u8
内蒙古卫视,http://192.168.1.95:8080/hls/8736016334328645190.m3u8
内蒙古卫视,http://192.168.1.95:8080/hls/-2811698667606441713.m3u8
内蒙古卫视,http://192.168.1.95:8080/hls/563912163124217975.m3u8
内蒙古卫视,http://192.168.1.95:8080/hls/307287034651338785.m3u8
内蒙古卫视,http://192.168.1.95:8080/hls/-1679141210834531639.m3u8
宁夏卫视,http://192.168.1.95:8080/hls/3862404207783110486.m3u8
宁夏卫视,http://192.168.1.95:8080/hls/-8384978050461660052.m3u8
宁夏卫视,http://192.168.1.95:8080/hls/-6671832832740941633.m3u8
宁夏卫视,http://192.168.1.95:8080/hls/8760636125832133871.m3u8
宁夏卫视,http://192.168.1.95:8080/hls/7662448157935096981.m3u8
青海卫视,http://192.168.1.95:8080/hls/-117131635508520362.m3u8
青海卫视,http://192.168.1.95:8080/hls/4169870936001946800.m3u8
青海卫视,http://192.168.1.95:8080/hls/1764377899685876726.m3u8
青海卫视,http://192.168.1.95:8080/hls/-3965947185170426507.m3u8
青海卫视,http://192.168.1.95:8080/hls/1084214492846611466.m3u8
山东卫视,http://192.168.1.95:8080/hls/-3460409924019493046.m3u8
山东卫视,http://192.168.1.95:8080/hls/5965226542308561958.m3u8
山东卫视,http://192.168.1.95:8080/hls/-5552550015681884156.m3u8
山东卫视,http://192.168.1.95:8080/hls/-8612854290001598200.m3u8
山东卫视,http://192.168.1.95:8080/hls/5643985393627295841.m3u8
山西卫视,http://192.168.1.95:8080/hls/4009082408319005535.m3u8
山西卫视,http://192.168.1.95:8080/hls/-5949573448533364600.m3u8
山西卫视,http://192.168.1.95:8080/hls/-4282372546691566780.m3u8
山西卫视,http://192.168.1.95:8080/hls/2744855587222981715.m3u8
山西卫视,http://192.168.1.95:8080/hls/-1539505673948701694.m3u8
陕西卫视,http://192.168.1.95:8080/hls/4685936618967042561.m3u8
陕西卫视,http://192.168.1.95:8080/hls/1164982805343351726.m3u8
陕西卫视,http://192.168.1.95:8080/hls/3894017591222343835.m3u8
陕西卫视,http://192.168.1.95:8080/hls/299136650788343360.m3u8
陕西卫视,http://192.168.1.95:8080/hls/-6505351812390752442.m3u8
深圳卫视,http://192.168.1.95:8080/hls/-4196853159673550337.m3u8
深圳卫视,http://192.168.1.95:8080/hls/5431158838091805943.m3u8
深圳卫视,http://192.168.1.95:8080/hls/-1521746742299757329.m3u8
深圳卫视,http://192.168.1.95:8080/hls/5973128023864883033.m3u8
深圳卫视,http://192.168.1.95:8080/hls/8299489932736526005.m3u8
三沙卫视,http://192.168.1.95:8080/hls/1041127675473767405.m3u8
三沙卫视,http://192.168.1.95:8080/hls/-7828950356592240754.m3u8
天津卫视,http://192.168.1.95:8080/hls/817066228828009156.m3u8
