🕘️更新时间,#genre#
2025-09-28 06:17:54,http://115.171.216.73:4000/rtp/225.1.8.81:8176

📺央视频道,#genre#
CCTV-1 综合,http://115.171.216.73:4000/rtp/225.1.8.81:8176
CCTV-1 综合,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV-1 综合,http://115.171.216.75:4000/rtp/225.1.8.33:8002
CCTV-2 财经,http://223.167.245.215:8001/rtp/239.45.3.208:5140
CCTV-2 财经,http://115.171.216.75:4000/rtp/225.1.8.2:8084
CCTV-3 综艺,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-3 综艺,http://115.171.216.75:4000/rtp/225.1.8.88:8000
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.105:8092
CCTV-4 中文国际,http://61.176.25.179:40001/rtp/232.0.0.201:1234
CCTV-4 中文国际,http://115.171.216.73:4000/rtp/225.1.8.4:8092
CCTV-4 中文国际,http://171.15.18.199:8180/TV00000000000000000004@HHZT
CCTV-4 中文国际,http://115.171.216.75:4000/rtp/225.1.8.4:8092
CCTV-5 体育,http://115.171.216.73:4000/rtp/225.1.8.89:8000
CCTV-5 体育,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV-5 体育,http://223.167.245.215:8001/rtp/239.45.1.69:5140
CCTV-5 体育,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5 体育,http://180.213.170.24:8188/rtp/239.5.1.102:5000
CCTV-5+ 体育赛事,http://omnix.cn:4000/udp/225.1.8.20:8004
CCTV-5+ 体育赛事,http://115.171.216.73:4000/rtp/225.1.8.20:8004
CCTV-6 电影,http://171.15.18.199:8180/TV00000000000000000006@HHZT
CCTV-6 电影,http://115.171.216.75:4000/rtp/225.1.8.84:8000
CCTV-7 国防军事,http://223.167.245.215:8001/rtp/239.45.3.56:5140
CCTV-7 国防军事,http://171.15.18.199:8180/TV00000000000000000007@HHZT
CCTV-7 国防军事,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-8 电视剧,http://171.15.18.199:8180/TV00000000000000000008@HHZT
CCTV-8 电视剧,http://223.167.245.215:8001/rtp/239.45.1.71:5140
CCTV-8 电视剧,http://115.171.216.73:4000/rtp/225.1.8.85:8000
CCTV-8 电视剧,http://115.171.216.75:4000/rtp/225.1.8.85:8000
CCTV-9 纪录,http://171.15.18.199:8180/TV00000000000000000009@HHZT
CCTV-9 纪录,http://223.167.245.215:8001/rtp/239.45.3.4:5140
CCTV-9 纪录,http://115.171.216.75:4000/rtp/225.1.8.9:8112
CCTV-9 纪录,http://omnix.cn:4000/udp/225.1.8.9:8112
CCTV-10 科教,http://171.15.18.199:8180/TV00000000000000000010@HHZT
CCTV-10 科教,http://115.171.216.73:4000/rtp/225.1.8.10:8116
CCTV-10 科教,http://180.213.170.24:8188/rtp/239.5.1.10:5000
CCTV-11 戏曲,http://171.15.18.199:8180/TV00000000000000000011@HHZT
CCTV-12 社会与法,http://117.86.51.74:8888/rtp/239.49.8.55:9822
