content.update_time,#genre#
2026-02-05 14:16:00,http://192.168.1.95:8080/hls/3323686413038740217.m3u8

央视,#genre#
CGTN,http://192.168.1.95:8080/hls/3323686413038740217.m3u8
CGTN,http://192.168.1.95:8080/hls/-2476207891325089629.m3u8
CGTN纪录,http://192.168.1.95:8080/hls/-292990585245364354.m3u8
CGTN纪录,http://192.168.1.95:8080/hls/-3927551430146215640.m3u8
CGTN俄语,http://192.168.1.95:8080/hls/2802938586992082052.m3u8
CGTN法语,http://192.168.1.95:8080/hls/-5234536124796563966.m3u8
CGTN西语,http://192.168.1.95:8080/hls/8357129435191030275.m3u8
CGTN阿语,http://192.168.1.95:8080/hls/-5313469206927357261.m3u8
睛彩广场舞,http://192.168.1.95:8080/hls/3354299841847191836.m3u8

卫视,#genre#
湖南卫视4K,http://192.168.1.95:8080/hls/4405450156515567588.m3u8
东方卫视4K,http://192.168.1.95:8080/hls/6090890478557855096.m3u8
浙江卫视,http://192.168.1.95:8080/hls/-3214717436432680627.m3u8
浙江卫视,http://192.168.1.95:8080/hls/-5822001972422589739.m3u8
湖南卫视,http://192.168.1.95:8080/hls/4405450156515567588.m3u8
东方卫视,http://192.168.1.95:8080/hls/-8544688956157919315.m3u8
甘肃卫视,http://192.168.1.95:8080/hls/-1953816281605638756.m3u8
山西卫视,http://192.168.1.95:8080/hls/-1539505673948701694.m3u8

江西,#genre#

广东,#genre#
广东体育,http://192.168.1.95:8080/hls/-4288585034066210254.m3u8

浙江,#genre#
浙江钱江都市,http://192.168.1.95:8080/hls/1322531236781653636.m3u8
浙江钱江都市,http://192.168.1.95:8080/hls/-392592692919983049.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/-1474186427390215974.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/6424053000570626814.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/-7251785334648613220.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/5801824896284359639.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/-3466620306345066342.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/6587443875507485732.m3u8
浙江民生休闲,http://192.168.1.95:8080/hls/4980160527057389415.m3u8
浙江民生休闲,http://192.168.1.95:8080/hls/-1419370230765784450.m3u8
浙江民生休闲,http://192.168.1.95:8080/hls/5703307582926389556.m3u8
浙江新闻,http://192.168.1.95:8080/hls/-3443916424843667009.m3u8
浙江新闻,http://192.168.1.95:8080/hls/7184075775778824615.m3u8
浙江新闻,http://192.168.1.95:8080/hls/3104272183136292683.m3u8
浙江少儿,http://192.168.1.95:8080/hls/-3128493485190965663.m3u8
浙江国际,http://192.168.1.95:8080/hls/-6645050583235690049.m3u8
浙江国际,http://192.168.1.95:8080/hls/3652349006693549642.m3u8
浙江国际,http://192.168.1.95:8080/hls/-6211723784477263852.m3u8
嘉兴新闻综合,http://192.168.1.95:8080/hls/1597616181758547528.m3u8
萧山综合,http://192.168.1.95:8080/hls/8288711482310844435.m3u8
萧山生活,http://192.168.1.95:8080/hls/-4335864981714426548.m3u8
萧山生活,http://192.168.1.95:8080/hls/-3171464472477723614.m3u8
萧山生活,http://192.168.1.95:8080/hls/3745354116986636772.m3u8
东阳影视生活,http://192.168.1.95:8080/hls/5987627950137352761.m3u8
上虞新商都,http://192.168.1.95:8080/hls/-2003871047849948005.m3u8
上虞新商都,http://192.168.1.95:8080/hls/6838779480683631625.m3u8
上虞新商都,http://192.168.1.95:8080/hls/8247490071580770049.m3u8
新昌生活,http://192.168.1.95:8080/hls/3116592953616112337.m3u8
洞头综合,http://192.168.1.95:8080/hls/-3458618823693689921.m3u8
洞头综合,http://192.168.1.95:8080/hls/-4720843237396235308.m3u8
龙游生活娱乐,http://192.168.1.95:8080/hls/-7168522680329399686.m3u8
龙游生活娱乐,http://192.168.1.95:8080/hls/1963627122689065863.m3u8
龙游生活娱乐,http://192.168.1.95:8080/hls/4208324542861696209.m3u8
余杭综合,http://192.168.1.95:8080/hls/-8235503065906401480.m3u8
余杭综合,http://192.168.1.95:8080/hls/8794854985117209860.m3u8
嵊泗综合,http://192.168.1.95:8080/hls/6225916423590820325.m3u8
嵊泗综合,http://192.168.1.95:8080/hls/-8926742899042281434.m3u8
缙云综合,http://192.168.1.95:8080/hls/6284992060271456419.m3u8
缙云综合,http://192.168.1.95:8080/hls/-5501007362639668014.m3u8
遂昌综合,http://192.168.1.95:8080/hls/-6825954307243563487.m3u8
松阳综合,http://192.168.1.95:8080/hls/-1871105217773447991.m3u8
松阳综合,http://192.168.1.95:8080/hls/-6399883841565666729.m3u8
松阳综合,http://192.168.1.95:8080/hls/6473436607290088910.m3u8
庆元综合,http://192.168.1.95:8080/hls/2057776507119025404.m3u8
庆元综合,http://192.168.1.95:8080/hls/7098862126425192612.m3u8
庆元综合,http://192.168.1.95:8080/hls/-5959929972916032198.m3u8
象山综合,http://192.168.1.95:8080/hls/-6962479251952455200.m3u8
余姚综合,http://192.168.1.95:8080/hls/-4552178262030081516.m3u8
余姚综合,http://192.168.1.95:8080/hls/1534247131950171932.m3u8
余姚综合,http://192.168.1.95:8080/hls/4384358316455285237.m3u8
余姚综合,http://192.168.1.95:8080/hls/-6909307490913778810.m3u8
余姚姚江文化,http://192.168.1.95:8080/hls/5857121986841074669.m3u8
余姚姚江文化,http://192.168.1.95:8080/hls/5736176500262663874.m3u8
余姚姚江文化,http://192.168.1.95:8080/hls/-7406369463778296556.m3u8
文成综合,http://192.168.1.95:8080/hls/-5943219001331844142.m3u8
文成综合,http://192.168.1.95:8080/hls/-2838448050282768071.m3u8

北京,#genre#

上海,#genre#
上海新闻综合,http://192.168.1.95:8080/hls/-3131795534701793146.m3u8
上海新闻综合,http://192.168.1.95:8080/hls/4086537571123732287.m3u8
上海新闻综合,http://192.168.1.95:8080/hls/8418459882242059003.m3u8
上海新闻综合,http://192.168.1.95:8080/hls/2133765652338553383.m3u8
第一财经,http://192.168.1.95:8080/hls/6296042766889895626.m3u8

重庆,#genre#

江苏,#genre#
江苏城市,http://192.168.1.95:8080/hls/1079141408389859979.m3u8
江苏城市,http://192.168.1.95:8080/hls/4008694995345546417.m3u8
江苏城市,http://192.168.1.95:8080/hls/-4953720102645826617.m3u8
江苏城市,http://192.168.1.95:8080/hls/2726597132212951229.m3u8
江苏城市,http://192.168.1.95:8080/hls/1775724445327577046.m3u8
江苏影视,http://192.168.1.95:8080/hls/-8508655856184665311.m3u8
江苏影视,http://192.168.1.95:8080/hls/-5682284241243580404.m3u8
江苏影视,http://192.168.1.95:8080/hls/2684235314885820289.m3u8
江苏教育,http://192.168.1.95:8080/hls/-7772798202093269762.m3u8
江苏教育,http://192.168.1.95:8080/hls/2018897361574577340.m3u8
南京新闻综合,http://192.168.1.95:8080/hls/5081413053206750359.m3u8
南京新闻综合,http://192.168.1.95:8080/hls/506820520955422965.m3u8
南京新闻综合,http://192.168.1.95:8080/hls/-6089237398585986981.m3u8
南京教科,http://192.168.1.95:8080/hls/5640139519644428475.m3u8
南京教科,http://192.168.1.95:8080/hls/-7852682253414987875.m3u8
南京教科,http://192.168.1.95:8080/hls/5737421612792074785.m3u8
南京少儿,http://192.168.1.95:8080/hls/-752402247239582245.m3u8
无锡新闻综合,http://192.168.1.95:8080/hls/-5576415146313300817.m3u8
无锡娱乐,http://192.168.1.95:8080/hls/5957943690580815436.m3u8
无锡娱乐,http://192.168.1.95:8080/hls/-2535263365212752712.m3u8
无锡娱乐,http://192.168.1.95:8080/hls/7442829608346827099.m3u8
无锡娱乐,http://192.168.1.95:8080/hls/-6808310595099973618.m3u8
无锡都市资讯,http://192.168.1.95:8080/hls/-625744975738354181.m3u8
无锡都市资讯,http://192.168.1.95:8080/hls/-1274212725095612148.m3u8
无锡都市资讯,http://192.168.1.95:8080/hls/2008975060714588036.m3u8
无锡都市资讯,http://192.168.1.95:8080/hls/-2370910433487783102.m3u8
无锡经济,http://192.168.1.95:8080/hls/-6640912564228126839.m3u8
无锡经济,http://192.168.1.95:8080/hls/3360930611637570369.m3u8
无锡经济,http://192.168.1.95:8080/hls/-3455344652643780654.m3u8
无锡经济,http://192.168.1.95:8080/hls/2374240148272360379.m3u8
无锡经济,http://192.168.1.95:8080/hls/8829783254356663868.m3u8
无锡生活,http://192.168.1.95:8080/hls/8102930882704487748.m3u8
无锡生活,http://192.168.1.95:8080/hls/-1918627004921866355.m3u8
连云港新闻综合,http://192.168.1.95:8080/hls/3049606592662450416.m3u8
连云港新闻综合,http://192.168.1.95:8080/hls/6758343816519059162.m3u8
连云港新闻综合,http://192.168.1.95:8080/hls/10556174611737896.m3u8
南通新闻综合,http://192.168.1.95:8080/hls/-1323525961091153438.m3u8
南通新闻综合,http://192.168.1.95:8080/hls/8907228426143112704.m3u8
南通新闻综合,http://192.168.1.95:8080/hls/6129852237202828046.m3u8
南通新闻综合,http://192.168.1.95:8080/hls/-6000848224226482547.m3u8
镇江新闻综合,http://192.168.1.95:8080/hls/-265230208503566346.m3u8
溧水新闻综合,http://192.168.1.95:8080/hls/8731841705693189740.m3u8
溧水新闻综合,http://192.168.1.95:8080/hls/-8210353653291028843.m3u8
溧水新闻综合,http://192.168.1.95:8080/hls/-7947619169092354178.m3u8
溧水新闻综合,http://192.168.1.95:8080/hls/3795781953319401674.m3u8
淮阴综合,http://192.168.1.95:8080/hls/-3082662759699345732.m3u8
沭阳综合,http://192.168.1.95:8080/hls/4328186263969459434.m3u8

辽宁,#genre#
辽宁都市,http://192.168.1.95:8080/hls/2710086018029681250.m3u8

湖南,#genre#
长沙新闻综合,http://192.168.1.95:8080/hls/-24988722501795178.m3u8

湖北,#genre#
荆门新闻综合,http://192.168.1.95:8080/hls/-1223966891388893369.m3u8
荆门新闻综合,http://192.168.1.95:8080/hls/1236915315353369896.m3u8

广西,#genre#
广西新闻,http://192.168.1.95:8080/hls/-988203848418904861.m3u8
广西国际,http://192.168.1.95:8080/hls/4339287154123955027.m3u8
广西国际,http://192.168.1.95:8080/hls/5078406856345427725.m3u8
广西国际,http://192.168.1.95:8080/hls/3228233588103671343.m3u8
宾阳综合,http://192.168.1.95:8080/hls/-4439189789543543682.m3u8

天津,#genre#

四川,#genre#
安多卫视,http://192.168.1.95:8080/hls/7808082621052175642.m3u8
安多卫视,http://192.168.1.95:8080/hls/1994540641385434113.m3u8
安多卫视,http://192.168.1.95:8080/hls/1360429392151974805.m3u8
荥经综合,http://192.168.1.95:8080/hls/-8222907351525877678.m3u8
荥经综合,http://192.168.1.95:8080/hls/-7162056083855576667.m3u8
沐川综合,http://192.168.1.95:8080/hls/-6178241299286689267.m3u8

陕西,#genre#
陕西新闻资讯,http://192.168.1.95:8080/hls/5144842744017800677.m3u8
陕西新闻资讯,http://192.168.1.95:8080/hls/2320551832060125744.m3u8
陕西新闻资讯,http://192.168.1.95:8080/hls/-743601459351300842.m3u8
陕西都市青春,http://192.168.1.95:8080/hls/-5386560457801272550.m3u8
陕西都市青春,http://192.168.1.95:8080/hls/-8565235717974679686.m3u8
陕西都市青春,http://192.168.1.95:8080/hls/4504116051346846571.m3u8
陕西体育休闲,http://192.168.1.95:8080/hls/3510412899301404284.m3u8
陕西体育休闲,http://192.168.1.95:8080/hls/-6886159659234378246.m3u8
陕西体育休闲,http://192.168.1.95:8080/hls/-4604419479768720878.m3u8
陕西体育休闲,http://192.168.1.95:8080/hls/2422813680362708364.m3u8

